game_id,home,away
0022200001,PHI,BOS
0022200002,LAL,GSW
0022200003,ORL,DET
0022200004,WAS,IND
0022200005,HOU,ATL
0022200006,NOP,BKN
0022200007,CHI,MIA
0022200008,CLE,TOR
0022200009,NYK,MEM
0022200010,OKC,MIN
0022200011,CHA,SAS
0022200012,DEN,UTA
0022200013,DAL,PHX
0022200014,POR,SAC
0022200015,MIL,PHI
0022200016,LAC,LAL
0022200017,NOP,CHA
0022200018,SAS,IND
0022200019,CHI,WAS
0022200020,ORL,ATL
0022200021,TOR,BKN
0022200022,BOS,MIA
0022200023,DET,NYK
0022200024,MEM,HOU
0022200025,UTA,MIN
0022200026,DEN,GSW
0022200027,PHX,POR
0022200028,SAS,PHI
0022200029,DET,IND
0022200030,BOS,ORL
0022200031,TOR,MIA
0022200032,CLE,CHI
0022200033,HOU,MIL
0022200034,MEM,DAL
0022200035,OKC,DEN
0022200036,LAC,SAC
0022200037,POR,LAL
0022200038,CHA,ATL
0022200039,WAS,CLE
0022200040,UTA,NOP
0022200041,MIN,OKC
0022200042,SAC,GSW
0022200043,PHX,LAC
0022200044,IND,PHI
0022200045,TOR,MIA
0022200046,ORL,NYK
0022200047,BOS,CHI
0022200048,UTA,HOU
0022200049,BKN,MEM
0022200050,SAS,MIN
0022200051,DEN,POR
0022200052,DET,WAS
0022200053,DAL,NOP
0022200054,LAC,OKC
0022200055,GSW,PHX
0022200056,ORL,CLE
0022200057,ATL,DET
0022200058,CHA,NYK
0022200059,PHI,TOR
0022200060,BKN,MIL
0022200061,IND,CHI
0022200062,SAS,MIN
0022200063,HOU,UTA
0022200064,LAL,DEN
0022200065,MIA,POR
0022200066,DAL,BKN
0022200067,LAC,OKC
0022200068,MIA,GSW
0022200069,MEM,SAC
0022200070,ATL,DET
0022200071,CHA,ORL
0022200072,CLE,BOS
0022200073,PHI,TOR
0022200074,IND,WAS
0022200075,NYK,MIL
0022200076,LAL,MIN
0022200077,CHI,SAS
0022200078,UTA,DEN
0022200079,NOP,PHX
0022200080,HOU,POR
0022200081,MIA,SAC
0022200082,GSW,CHA
0022200083,IND,BKN
0022200084,PHI,CHI
0022200085,ATL,MIL
0022200086,OKC,DAL
0022200087,MEM,UTA
0022200088,NOP,LAC
0022200089,WAS,BOS
0022200090,NYK,CLE
0022200091,GSW,DET
0022200092,MIN,SAS
0022200093,ORL,DAL
0022200094,HOU,PHX
0022200095,DEN,LAL
0022200096,SAC,CHA
0022200097,PHI,WAS
0022200098,IND,BKN
0022200099,ATL,TOR
0022200100,DET,MIL
0022200101,MEM,UTA
0022200102,HOU,LAC
0022200103,CHI,BKN
0022200104,GSW,MIA
0022200105,ORL,OKC
0022200106,MIN,PHX
0022200107,BOS,CLE
0022200108,WAS,PHI
0022200109,SAC,MIA
0022200110,ATL,NYK
0022200111,CHA,CHI
0022200112,LAC,HOU
0022200113,DET,MIL
0022200114,TOR,SAS
0022200115,UTA,DAL
0022200116,MEM,POR
0022200117,NOP,LAL
0022200118,GSW,ORL
0022200119,DEN,OKC
0022200120,CLE,DET
0022200121,MIA,IND
0022200122,NYK,PHI
0022200123,BKN,WAS
0022200124,CHI,BOS
0022200125,CHA,MEM
0022200126,LAC,SAS
0022200127,TOR,DAL
0022200128,GSW,NOP
0022200129,MIL,MIN
0022200130,POR,PHX
0022200131,UTA,LAL
0022200132,SAC,ORL
0022200133,BKN,CHA
0022200134,NOP,ATL
0022200135,BOS,NYK
0022200136,OKC,MIL
0022200137,HOU,MIN
0022200138,SAS,DEN
0022200139,POR,PHX
0022200140,CLE,LAL
0022200141,CHI,TOR
0022200142,WAS,MEM
0022200143,UTA,LAC
0022200144,WAS,CHA
0022200145,HOU,ORL
0022200146,OKC,DET
0022200147,NOP,IND
0022200148,PHX,PHI
0022200149,MIL,ATL
0022200150,POR,MIA
0022200151,TOR,CHI
0022200152,BOS,MEM
0022200153,NYK,MIN
0022200154,DEN,SAS
0022200155,BKN,DAL
0022200156,SAC,GSW
0022200157,LAL,UTA
0022200158,CLE,LAC
0022200159,POR,CHA
0022200160,DEN,IND
0022200161,DAL,ORL
0022200162,UTA,ATL
0022200163,DET,BOS
0022200164,NYK,BKN
0022200165,HOU,TOR
0022200166,NOP,CHI
0022200167,PHX,MIN
0022200168,MIL,OKC
0022200169,MEM,SAS
0022200170,LAL,LAC
0022200171,CLE,SAC
0022200172,DAL,WAS
0022200173,PHI,ATL
0022200174,CHA,MIA
0022200175,POR,NOP
0022200176,DEN,BOS
0022200177,PHX,ORL
0022200178,DET,NYK
0022200179,TOR,OKC
0022200180,MIL,SAS
0022200181,MIN,MEM
0022200182,CLE,GSW
0022200183,SAC,LAL
0022200184,BKN,LAC
0022200185,UTA,WAS
0022200186,BOS,DET
0022200187,TOR,IND
0022200188,ATL,PHI
0022200189,CHA,MIA
0022200190,POR,DAL
0022200191,HOU,NOP
0022200192,OKC,NYK
0022200193,MIN,CLE
0022200194,MEM,WAS
0022200195,UTA,PHI
0022200196,DEN,CHI
0022200197,GSW,SAC
0022200198,BKN,LAL
0022200199,TOR,DET
0022200200,CHA,ORL
0022200201,OKC,BOS
0022200202,PHX,MIA
0022200203,LAC,HOU
0022200204,ATL,MIL
0022200205,SAS,GSW
0022200206,MEM,NOP
0022200207,LAC,DAL
0022200208,NYK,UTA
0022200209,SAS,POR
0022200210,BKN,SAC
0022200211,IND,CHA
0022200212,MIN,ORL
0022200213,OKC,WAS
0022200214,BOS,ATL
0022200215,MIA,TOR
0022200216,CLE,MIL
0022200217,CHI,NOP
0022200218,HOU,DAL
0022200219,NYK,DEN
0022200220,GSW,PHX
0022200221,BKN,POR
0022200222,SAS,SAC
0022200223,DET,LAC
0022200224,MIA,WAS
0022200225,CHA,CLE
0022200226,MIL,PHI
0022200227,ORL,CHI
0022200228,IND,HOU
0022200229,OKC,MEM
0022200230,DEN,DAL
0022200231,BOS,NOP
0022200232,PHX,UTA
0022200233,NYK,GSW
0022200234,DET,LAL
0022200235,TOR,ATL
0022200236,ORL,IND
0022200237,MIN,PHI
0022200238,UTA,POR
0022200239,SAS,LAC
